iteration,time,Error 1,Error 2
0,0.0,0.0,0.4172387763635375
1,0.003,0.0,0.6687476176934056
2,0.006,0.00031752802966137825,0.649554589989061
3,0.009000000000000001,0.0006166792124153968,0.6309124013497289
4,0.012,0.0008982512323579125,0.6128052427180677
5,0.015,0.0011630109950395285,0.5952177587559974
6,0.018000000000000002,0.001411695740852811,0.5781350348229765
7,0.021,0.0016450141197539452,0.5615425843280024
8,0.024,0.0018636472286242837,0.5454263364446077
9,0.027,0.0020682496125340685,0.5297726241784355
10,0.03,0.002259450231128745,0.5145681727772767
11,0.033,0.002437853391318453,0.49980008847373597
12,0.036000000000000004,0.0026040396474106323,0.4854558475509845
13,0.039,0.00275856666979099,0.4715232857223249
14,0.042,0.002901970083217289,0.45799058781556196
15,0.045,0.0030347642757586613,0.4448462777534316
16,0.048,0.003157443179376179,0.4320792088215905
17,0.051000000000000004,0.003270481023110595,0.41967855421591516
18,0.054,0.0033743330598063523,0.4076337978610921
19,0.057,0.0034694362672752794,0.3959347254927147
20,0.06,0.0035562100247686066,0.38457141599532263
21,0.063,0.0036350567656017146,0.3735342329890406
22,0.066,0.003706362606742571,0.3628138166576786
23,0.069,0.003770497956152669,0.35240107581136676
24,0.07200000000000001,0.003827818098640256,0.3422871801769911
25,0.075,0.0038786637609606687,0.33246355290989416
26,0.078,0.003923361656874085,0.3229218633204892
27,0.081,0.003962225012848734,0.31365401980962054
28,0.084,0.003995554075071911,0.3046521630066778
29,0.08700000000000001,0.004023636598410663,0.2959086591046476
30,0.09,0.004046748317943824,0.28741609338644747
31,0.093,0.004065153403661657,0.2791672639370547
32,0.096,0.004079104898915838,0.27115517553609614
33,0.099,0.004088845143176851,0.2633730337257209
34,0.10200000000000001,0.004094606179641527,0.2558142390487242
35,0.105,0.004096610148212466,0.24847238145203815
36,0.108,0.004095069664355437,0.2413412348508403
37,0.111,0.004090188184322578,0.23441475184867352
38,0.114,0.004082160357213139,0.22768705860909727
39,0.117,0.004071172364328174,0.22115244987452276
40,0.12,0.004057402246259933,0.21480538412800765
41,0.123,0.004041020218140182,0.20864047889390583
