iteration,time,y position,Calculated Solution,Exact Solution
0,0.0,0,0.0,0.0
0,0.0,1,0.20643446504023089,0.20643446504023089
0,0.0,2,0.40901699437494743,0.40901699437494743
0,0.0,3,0.6039904997395468,0.6039904997395468
0,0.0,4,0.7877852522924731,0.7877852522924731
0,0.0,5,0.9571067811865475,0.9571067811865475
0,0.0,6,1.1090169943749473,1.1090169943749473
0,0.0,7,1.2410065241883679,1.2410065241883679
0,0.0,8,1.3510565162951536,1.3510565162951536
0,0.0,9,1.4376883405951377,1.4376883405951377
0,0.0,10,1.5,1.5
0,0.0,11,1.5376883405951378,1.5376883405951378
0,0.0,12,1.5510565162951537,1.5510565162951537
0,0.0,13,1.5410065241883677,1.5410065241883677
0,0.0,14,1.5090169943749476,1.5090169943749476
0,0.0,15,1.4571067811865475,1.4571067811865475
0,0.0,16,1.3877852522924732,1.3877852522924732
0,0.0,17,1.3039904997395466,1.3039904997395466
0,0.0,18,1.2090169943749476,1.2090169943749476
0,0.0,19,1.1064344650402311,1.1064344650402311
0,0.0,20,1.0000000000000002,1.0000000000000002
1,0.003,0,-0.0,0.0
1,0.003,1,0.2019448026593953,0.20187052601729422
1,0.003,2,0.4001482200014276,0.40000149565466403
1,0.003,3,0.5909609920321934,0.5907454328211348
1,0.003,4,0.7709158409734982,0.7706367546813209
1,0.003,5,0.9368128471489904,0.9364771058064421
1,0.003,6,1.0857982416265184,1.0854141122997143
1,0.003,7,1.2154346754803558,1.215011616708174
1,0.003,8,1.32376123541085,1.323309664304313
1,0.003,9,1.4093417279377574,1.408872763676187
1,0.003,10,1.4713000432501817,1.4708252332901006
1,0.003,11,1.5093417279377577,1.508872763676187
1,0.003,12,1.5237612354108503,1.5233096643043131
1,0.003,13,1.515434675480356,1.5150116167081737
1,0.003,14,1.4857982416265187,1.4854141122997144
1,0.003,15,1.4368128471489907,1.4364771058064423
1,0.003,16,1.3709158409734983,1.3706367546813212
1,0.003,17,1.2909609920321934,1.2907454328211347
1,0.003,18,1.2001482200014275,1.200001495654664
1,0.003,19,1.1019448026593954,1.1018705260172945
1,0.003,20,1.0000000000000002,1.0000000000000002
2,0.006,0,0.0,0.0
2,0.006,1,0.19758399339471097,0.19743973885063
2,0.006,2,0.3915339790688517,0.3912490220063183
2,0.006,3,0.5783054306325125,0.5778867876401246
2,0.006,4,0.7545305810297727,0.7539885604873993
2,0.006,5,0.9171013481405949,0.9164492963928522
2,0.006,6,1.063245866077754,1.0624998388027074
2,0.006,7,1.1905967377242765,1.18977510458936
2,0.006,8,1.2972493279073998,1.296372320247239
2,0.006,9,1.3818086618376477,1.3808978744914577
2,0.006,10,1.4434237740178049,1.4425016335927783
2,0.006,11,1.481808661837648,1.4808978744914578
2,0.006,12,1.4972493279074002,1.496372320247239
2,0.006,13,1.490596737724277,1.48977510458936
2,0.006,14,1.4632458660777545,1.4624998388027075
2,0.006,15,1.4171013481405952,1.4164492963928523
2,0.006,16,1.3545305810297728,1.3539885604873994
2,0.006,17,1.2783054306325123,1.2778867876401243
2,0.006,18,1.1915339790688515,1.1912490220063185
2,0.006,19,1.0975839933947111,1.09743973885063
2,0.006,20,1.0000000000000002,1.0000000000000002
